timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Connect
1676067242995,1274,/us/tarot/tarot-lovers-triangle.aspx,200,OK,Tarot Index Pages - Thread Group 1-8,text,true,,17,17,https://dev.horoscope.com/us/tarot/tarot-lovers-triangle.aspx,172,0
1676067243192,1106,/us/games/index-games.aspx,200,OK,Tarot Index Pages - Thread Group 1-2,text,true,,17,17,https://dev.horoscope.com/us/games/index-games.aspx,157,0
1676067243169,1299,/zodiac-signs/leo,200,OK,Tarot Index Pages - Thread Group 1-9,text,true,,17,17,https://dev.horoscope.com/zodiac-signs/leo,161,0
1676067243268,1215,/us/horoscopes/general/index-horoscope-general-daily.aspx,200,OK,Tarot Index Pages - Thread Group 1-13,text,true,,17,17,https://dev.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,158,0
1676067243319,1300,/us/tarot/tarot-love-potential.aspx,200,OK,Tarot Index Pages - Thread Group 1-1,text,true,,17,17,https://dev.horoscope.com/us/tarot/tarot-love-potential.aspx,325,0
1676067243768,949,/us/horoscopes/love/index-horoscope-love-daily.aspx,200,OK,Tarot Index Pages - Thread Group 1-4,text,true,,17,17,https://dev.horoscope.com/us/horoscopes/love/index-horoscope-love-daily.aspx,158,1
1676067243687,1032,/us/tarot/tarot-money-oracle.aspx,200,OK,Tarot Index Pages - Thread Group 1-10,text,true,,17,17,https://dev.horoscope.com/us/tarot/tarot-money-oracle.aspx,158,0
1676067243728,1092,/us/horoscopes/chinese/index-horoscope-chinese.aspx,200,OK,Tarot Index Pages - Thread Group 1-7,text,true,,18,18,https://dev.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,161,0
1676067243888,957,/zodiac-signs/capricorn,200,OK,Tarot Index Pages - Thread Group 1-3,text,true,,18,18,https://dev.horoscope.com/zodiac-signs/capricorn,158,0
1676067244118,901,/us/emails/email-subscription.aspx,200,OK,Tarot Index Pages - Thread Group 1-15,text,true,,18,18,https://dev.horoscope.com/us/emails/email-subscription.aspx,157,1
1676067243787,1241,/us/tarot/tarot-power.aspx,200,OK,Tarot Index Pages - Thread Group 1-16,text,true,,18,18,https://dev.horoscope.com/us/tarot/tarot-power.aspx,158,0
1676067244088,959,/us/games/divination/game-magic-love-ball.aspx,200,OK,Tarot Index Pages - Thread Group 1-5,text,true,,18,18,https://dev.horoscope.com/us/games/divination/game-magic-love-ball.aspx,159,0
1676067244265,866,/us/team.aspx,200,OK,Tarot Index Pages - Thread Group 1-17,text,true,,18,18,https://dev.horoscope.com/us/team.aspx,161,2
1676067244121,1019,/psychics,200,OK,Tarot Index Pages - Thread Group 1-11,text,true,,18,18,https://dev.horoscope.com/psychics,155,0
1676067244169,1100,/us/tarot/tarot-breakup.aspx,200,OK,Tarot Index Pages - Thread Group 1-14,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-breakup.aspx,155,0
1676067244298,1021,/us/games/index-games-fortune-teller.aspx,200,OK,Tarot Index Pages - Thread Group 1-2,text,true,,19,19,https://dev.horoscope.com/us/games/index-games-fortune-teller.aspx,169,1
1676067244269,1050,/us/tarot/tarot-hot-topic.aspx,200,OK,Tarot Index Pages - Thread Group 1-8,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-hot-topic.aspx,168,0
1676067244484,898,/us/games/compatibility/game-name-compatibility.aspx,200,OK,Tarot Index Pages - Thread Group 1-13,text,true,,19,19,https://dev.horoscope.com/us/games/compatibility/game-name-compatibility.aspx,153,0
1676067244149,1234,/us/tarot/tarot-weekly.aspx,200,OK,Tarot Index Pages - Thread Group 1-12,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-weekly.aspx,174,0
