timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676056373150,983,uat,200,OK,Thread Group 1-174,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,216,0,0
1676056373354,915,uat,200,OK,Thread Group 1-175,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056373551,1011,uat,200,OK,Thread Group 1-176,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056373752,895,uat,200,OK,Thread Group 1-177,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056373949,912,uat,200,OK,Thread Group 1-178,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056374152,892,uat,200,OK,Thread Group 1-179,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,165,0,1
1676056374364,942,uat,200,OK,Thread Group 1-180,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056374566,944,uat,200,OK,Thread Group 1-181,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,162,0,0
1676056374753,946,uat,200,OK,Thread Group 1-182,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,153,0,0
1676056374952,960,uat,200,OK,Thread Group 1-183,true,68794,369,5,5,https://uat.astrology.com/us/home.aspx,173,0,0
1676056375155,1034,uat,200,OK,Thread Group 1-184,true,68792,369,6,6,https://uat.astrology.com/us/home.aspx,196,0,0
1676056375357,1000,uat,200,OK,Thread Group 1-185,true,68791,369,6,6,https://uat.astrology.com/us/home.aspx,241,0,6
1676056375563,935,uat,200,OK,Thread Group 1-186,true,68785,369,5,5,https://uat.astrology.com/us/home.aspx,176,0,0
1676056375752,933,uat,200,OK,Thread Group 1-187,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056375952,873,uat,200,OK,Thread Group 1-188,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,155,0,1
1676056376151,926,uat,200,OK,Thread Group 1-189,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056376354,966,uat,200,OK,Thread Group 1-190,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,222,0,1
1676056376551,899,uat,200,OK,Thread Group 1-191,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,175,0,1
1676056376751,931,uat,200,OK,Thread Group 1-192,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,1
1676056376952,909,uat,200,OK,Thread Group 1-193,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,163,0,0
1676056377152,898,uat,200,OK,Thread Group 1-194,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056377352,890,uat,200,OK,Thread Group 1-195,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056377551,895,uat,200,OK,Thread Group 1-196,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056377749,942,uat,200,OK,Thread Group 1-197,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,152,0,0
1676056377953,891,uat,200,OK,Thread Group 1-198,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056378150,908,uat,200,OK,Thread Group 1-199,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,1
1676056378352,904,uat,200,OK,Thread Group 1-200,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,175,0,0
1676056378550,939,uat,200,OK,Thread Group 1-201,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,1
1676056378752,1001,uat,200,OK,Thread Group 1-202,true,68786,369,6,6,https://uat.astrology.com/us/home.aspx,157,0,0
1676056378949,911,uat,200,OK,Thread Group 1-203,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056379153,904,uat,200,OK,Thread Group 1-204,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,1
1676056379353,1072,uat,200,OK,Thread Group 1-205,true,68796,369,6,6,https://uat.astrology.com/us/home.aspx,156,0,1
1676056379553,893,uat,200,OK,Thread Group 1-206,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056379748,895,uat,200,OK,Thread Group 1-207,true,68792,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,0
1676056379949,964,uat,200,OK,Thread Group 1-208,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,1
